county_fips,fast_food_count_2009,fast_food_count_2014,PCT_change_fast_food_count,CPT_fast_food_2009,CPT_fast_food_2014,PCT_change_fast_food
53041,52,48,-7.692307692000001,0.690424345,0.638909594,-7.461317301
53043,6,9,50.0,0.567644276,0.87804878,54.682926828999996
53045,27,24,-11.111111111,0.447516285,0.395315511,-11.664552827
53047,18,19,5.555555556,0.442271309,0.460159845,4.044697398
53049,18,12,-33.333333333,0.856082945,0.583629201,-31.825624564
53051,4,5,25.0,0.306677912,0.38505968399999996,25.558336542
53053,509,539,5.893909627,0.639059465,0.647892606,1.382209544
53055,17,15,-11.764705882000001,1.081837852,0.9366219170000001,-13.423077629000002
53057,80,77,-3.75,0.686359464,0.639720849,-6.795071242000001
53059,2,4,100.0,0.18256503899999998,0.352733686,93.209876543
53061,524,533,1.717557252,0.741892278,0.7017008020000001,-5.417427559
53063,337,341,1.18694362,0.71972407,0.704082855,-2.1732239019999997
53065,25,26,4.0,0.574079177,0.595647194,3.756975945
53067,177,167,-5.649717514,0.7081812940000001,0.628171419,-11.297936800999999
53069,2,2,0.0,0.5006257820000001,0.49176297,-1.770346693
53071,34,29,-14.705882353,0.585167719,0.484593276,-17.18728498
53073,121,124,2.4793388430000003,0.605408651,0.595149531,-1.694577622
53075,30,41,36.666666667,0.671065876,0.875563243,30.473515991
53077,151,137,-9.271523178999999,0.630206507,0.553117443,-12.23234986
54001,5,7,40.0,0.30341646899999997,0.417511631,37.60348324
54003,53,66,24.528301886999998,0.51541379,0.5973012839999999,15.88771897
54005,8,7,-12.5,0.3230235,0.295184279,-8.618326727000001
54007,8,8,0.0,0.551267916,0.553135587,0.33879554700000003
54009,19,16,-15.789473684,0.786651762,0.679983,-13.559845214000001
54011,100,110,10.0,1.04123282,1.132747737,8.789092669
54013,1,1,0.0,0.132275132,0.133102622,0.625582324
54015,1,1,0.0,0.105207785,0.111844313,6.308019237000001
54017,0,0,0.0,0.0,0.0,0.0
54019,25,19,-24.0,0.543076856,0.420987326,-22.481077728000002
54021,2,2,0.0,0.234494079,0.23207240699999998,-1.0327222090000001
54023,4,6,50.0,0.33436429,0.513390947,53.542397536
54025,26,29,11.538461538,0.7354813159999999,0.818053597,11.2269719
54027,8,7,-12.5,0.335852225,0.298087979,-11.24430439
54029,25,25,0.0,0.813061012,0.8302337940000001,2.112114772
54031,4,7,75.0,0.288080663,0.502765209,74.52237305199999
54033,49,54,10.204081633,0.713287528,0.785328893,10.099905351
54035,21,22,4.7619047619999995,0.720288115,0.755338872,4.866213463
54037,32,35,9.375,0.603159046,0.628219626,4.154887549
54039,184,190,3.260869565,0.9526274920000001,0.998827692,4.849765573
54041,14,18,28.571428571,0.8525149190000001,1.096624832,28.634092848
54043,8,5,-37.5,0.367073506,0.23190019,-36.824590696
54045,25,20,-20.0,0.682221313,0.565802874,-17.064614688
54047,5,8,60.0,0.224456815,0.391236307,74.303599374
54049,50,43,-14.0,0.886116329,0.757002271,-14.570779712
54051,21,20,-4.7619047619999995,0.634134557,0.616979269,-2.7053071969999998
54053,10,9,-10.0,0.36617964799999997,0.333135919,-9.023911756
54055,35,35,0.0,0.562909114,0.566480537,0.634458202
54057,15,15,0.0,0.534188034,0.543911814,1.820291537
54059,12,6,-50.0,0.445384701,0.23331777899999998,-47.614325711999996
54061,87,97,11.494252874,0.923910158,0.937533224,1.47450124
54063,0,0,0.0,0.0,0.0,0.0
54065,7,5,-28.571428571,0.39817975,0.286483699,-28.051665289000002
54067,15,14,-6.666666667,0.571363273,0.542068378,-5.127192473
54069,41,45,9.756097561,0.924360275,1.038589365,12.357637262999999
54071,2,3,50.0,0.259706532,0.407000407,56.71550671600001
54073,6,5,-16.666666667,0.7820646509999999,0.654964632,-16.251855733
54075,1,2,100.0,0.114337983,0.230893558,101.939505888
54077,11,10,-9.090909091,0.3300033,0.295963064,-10.315119946
54079,54,59,9.259259259,0.978650912,1.0392813109999999,6.195303987999999
54081,56,47,-16.071428571,0.710822269,0.600708069,-15.491101669
54083,14,14,0.0,0.476498417,0.475721227,-0.163104421
54085,5,7,40.0,0.477190303,0.699230846,46.530816101999996
54087,4,5,25.0,0.267272484,0.34097108600000003,27.574331696999998
54089,6,5,-16.666666667,0.43221437799999995,0.372661549,-13.778539664
54091,10,9,-10.0,0.593894762,0.527271662,-11.217997539
54093,5,6,20.0,0.697155605,0.8661758340000001,24.244261585
54095,5,3,-40.0,0.540598984,0.32974280100000003,-39.004176742
54097,12,14,16.666666667,0.497429945,0.566091141,13.80318898
54099,20,17,-15.0,0.469076155,0.413404017,-11.868464569
54101,3,1,-66.666666667,0.327260827,0.113199004,-65.410157724
54103,17,15,-11.764705882000001,1.024837232,0.938203653,-8.453398873
54105,2,0,-100.0,0.35069261799999996,0.0,-100.0
54107,78,81,3.8461538460000004,0.89819325,0.9392720059999999,4.573487554
54109,8,6,-25.0,0.334742039,0.265510222,-20.682140012
55001,7,12,71.428571429,0.334448161,0.5936186,77.491961415
55003,11,12,9.090909091,0.682043651,0.745202757,9.260273354
55005,29,29,0.0,0.632138809,0.63799362,0.926190738
55007,7,7,0.0,0.46725852700000003,0.4671338,-0.026693
55009,153,172,12.418300654000001,0.620750093,0.670121167,7.953454131
55011,2,3,50.0,0.146864444,0.227479527,54.890809827
55013,4,4,0.0,0.256262413,0.26096033399999996,1.8332463469999998
55015,18,21,16.666666667,0.371463359,0.42431957299999995,14.229186450999999
55017,26,35,34.615384615,0.419375131,0.551528522,31.511976048
55019,9,11,22.222222222,0.260198329,0.319553787,22.811621429000002
55021,30,33,10.0,0.5312649420000001,0.582884395,9.716329595
55023,6,8,33.333333333,0.35945363,0.488042948,35.773548072
55025,391,419,7.16112532,0.8062204759999999,0.8115688259999999,0.663385649
55027,34,38,11.764705882000001,0.38341396299999997,0.429019803,11.894673646
55029,14,23,64.285714286,0.501450625,0.8283512209999999,65.190983834
55031,27,22,-18.518518519,0.613664257,0.503455536,-17.959123479000002
55033,18,21,16.666666667,0.413128299,0.473987135,14.731219199999998
55035,84,89,5.952380952,0.854753037,0.87629475,2.520226514
55037,1,2,100.0,0.22251891399999998,0.446328944,100.58022762799999
55039,68,59,-13.235294117999999,0.670809904,0.579801295,-13.566974564
55041,3,3,0.0,0.319284802,0.328695081,2.947299222
55043,22,22,0.0,0.43208421700000005,0.424472786,-1.76156206
55045,17,16,-5.882352941000001,0.463568935,0.43169738,-6.875256915
55047,5,5,0.0,0.262384551,0.26544914,1.167976216
55049,10,10,0.0,0.42381860600000004,0.419727177,-0.965372508
55051,3,4,33.333333333,0.50284948,0.676018252,34.437496479
55053,11,13,18.181818182,0.5399568029999999,0.629478985,16.579508038
55055,46,42,-8.695652174,0.5510301870000001,0.497659814,-9.685562456
55057,9,8,-11.111111111,0.336725531,0.303087706,-9.989686599
55059,104,110,5.769230769,0.628391198,0.654496989,4.154385313
55061,5,8,60.0,0.243249818,0.391312855,60.868714536999995
55063,85,80,-5.882352941000001,0.74547671,0.677902907,-9.064508942
55065,6,5,-16.666666667,0.356061955,0.296683083,-16.676556103
55067,9,11,22.222222222,0.448073285,0.566718187,26.47890549
55069,14,15,7.142857143,0.48555474600000004,0.526445092,8.421366651
55071,35,34,-2.857142857,0.428921569,0.42415169700000005,-1.112061591
55073,72,78,8.333333332999999,0.5381447460000001,0.574458683,6.74798694
55075,23,26,13.043478260999999,0.550344564,0.629570439,14.395686074
55077,4,6,50.0,0.259655956,0.398671096,53.53820598
55078,0,1,,0.0,0.221141088,
55079,580,615,6.034482758999999,0.615274943,0.6430323520000001,4.511383025
55081,20,22,10.0,0.45007538799999997,0.484805747,7.716564931000001
55083,14,16,14.285714286,0.371796574,0.42761311700000004,15.012656585
55085,27,27,0.0,0.746371804,0.759216039,1.720889689
55087,112,130,16.071428571,0.6357315170000001,0.714262167,12.352801164
55089,53,53,0.0,0.613362034,0.60592203,-1.21298731
55091,4,5,25.0,0.534759358,0.6816632579999999,27.471029312
55093,19,22,15.789473684,0.467830498,0.537135602,14.814148512000001
55095,21,25,19.047619047999998,0.473228772,0.575546193,21.621132741
55097,37,45,21.621621622,0.529509417,0.638460884,20.575926228
55099,8,5,-37.5,0.559557949,0.365630713,-34.657221207
55101,102,105,2.9411764710000003,0.522728437,0.538011816,2.9237702060000004
55103,6,8,33.333333333,0.331272085,0.452949836,36.730457101999995
55105,99,104,5.050505051,0.617164658,0.6452093210000001,4.544113493
55107,9,6,-33.333333333,0.606428138,0.418614386,-30.970487686
55109,51,49,-3.921568627,0.6067455829999999,0.564782904,-6.916025437999999
55111,48,54,12.5,0.779701764,0.85201723,9.274759778
55113,10,9,-10.0,0.6039012020000001,0.5475451720000001,-9.33199489
55115,12,16,33.333333333,0.28647138899999997,0.384809639,34.327424902
55117,58,68,17.24137931,0.5018950870000001,0.589816983,17.517983137
