county_fips,PCT_poverty_rate_2015,PCT_poverty_rate_2015_children
16037,14.0,19.5
16039,15.0,21.7
16041,9.7,13.0
16043,15.0,24.1
16045,15.8,24.2
16047,13.9,21.3
16049,16.3,23.0
16051,10.5,13.9
16053,15.8,21.7
16055,14.7,19.2
16057,19.6,14.5
16059,17.6,26.8
16061,16.3,26.8
16063,14.5,23.6
16065,28.1,18.6
16067,17.0,20.7
16069,13.5,18.5
16071,12.2,18.1
16073,19.9,30.2
16075,15.7,22.0
16077,14.1,20.8
16079,21.1,30.3
16081,9.8,15.9
16083,14.6,19.3
16085,10.7,18.1
16087,17.1,25.0
17001,13.4,18.9
17003,28.6,52.2
17005,14.8,19.1
17007,10.3,14.5
17009,16.7,15.8
17011,12.6,19.3
17013,11.6,15.5
17015,10.7,19.3
17017,12.2,18.1
17019,20.1,18.3
17021,12.7,19.2
17023,13.8,21.5
17025,14.5,21.1
17027,8.5,12.0
17029,21.8,24.5
17031,16.2,23.5
17033,13.4,20.2
17035,12.0,17.5
17037,16.2,16.3
17039,11.6,19.3
17041,10.2,16.3
17043,7.1,9.2
17045,13.9,22.6
17047,11.3,15.9
17049,9.8,14.1
17051,18.5,29.8
17053,11.3,18.1
17055,18.7,28.2
17057,14.9,21.0
17059,17.9,27.7
17061,16.6,23.4
17063,7.7,10.2
17065,13.0,22.4
17067,12.7,19.0
17069,20.6,35.6
17071,11.5,18.8
17073,10.7,14.7
17075,13.3,20.1
17077,23.5,29.7
17079,12.0,16.7
17081,16.7,26.5
17083,11.4,16.4
17085,9.4,13.5
17087,14.3,19.5
17089,10.8,16.1
17091,15.2,22.3
17093,4.8,6.6
17095,17.2,26.8
17097,9.0,12.3
17099,12.9,19.6
17101,17.7,23.4
17103,12.7,18.1
17105,12.8,18.2
17107,13.7,20.1
17109,22.8,26.0
17111,8.1,10.7
17113,11.7,11.6
17115,18.2,27.7
17117,13.7,21.1
17119,12.9,17.7
17121,18.0,29.5
17123,10.6,16.3
17125,13.9,23.3
17127,16.8,26.5
17129,10.3,16.6
17131,10.1,13.8
17133,5.0,5.5
17135,16.6,24.2
17137,14.8,22.3
17139,8.6,15.6
17141,10.4,14.5
17143,15.6,23.0
17145,16.8,23.6
17147,6.5,9.2
17149,15.0,22.9
17151,18.1,30.6
17153,24.7,39.9
17155,8.8,16.0
17157,14.3,19.7
17159,14.9,20.3
17161,13.2,20.8
17163,16.4,25.6
17165,23.2,35.2
17167,15.3,22.8
17169,12.9,19.6
17171,11.3,18.0
17173,11.6,17.1
17175,12.7,17.7
17177,13.0,22.5
17179,8.4,12.2
17181,15.3,25.6
17183,18.4,29.1
17185,12.2,19.6
17187,14.3,20.8
17189,8.8,13.7
17191,12.8,21.7
17193,14.9,23.0
17195,12.8,19.6
17197,8.0,11.3
17199,16.2,25.0
17201,14.7,22.5
17203,7.0,9.0
18001,12.8,25.3
18003,14.6,20.8
18005,11.9,15.5
18007,11.1,18.2
18009,14.5,24.0
18011,6.0,7.4
18013,11.4,19.9
18015,9.4,13.7
18017,13.1,20.0
18019,10.4,16.2
18021,12.9,20.4
18023,11.9,18.5
18025,18.7,28.5
18027,14.6,21.9
18029,8.9,12.7
18031,13.0,18.6
18033,10.5,14.9
18035,23.0,31.2
18037,7.6,9.0
18039,14.0,19.4
18041,16.2,23.8
18043,11.3,17.5
18045,12.1,18.9
18047,9.9,13.7
18049,11.7,19.7
18051,11.0,14.6
18053,18.0,26.9
18055,14.7,21.6
18057,4.7,5.2
18059,6.0,8.1
18061,11.2,15.3
18063,5.5,6.7
18065,14.7,20.6
18067,16.9,24.8
18069,10.9,16.2
18071,12.1,16.8
18073,9.3,13.2
18075,15.2,24.9
18077,13.4,20.2
18079,13.1,21.1
18081,8.0,10.7
18083,19.1,24.1
18085,10.0,13.8
18087,8.6,13.6
18089,16.6,26.5
18091,15.7,24.7
18093,13.9,21.0
18095,16.7,25.2
18097,20.6,31.0
18099,10.6,15.0
18101,13.8,19.5
18103,14.8,22.6
18105,23.5,18.2
18107,12.3,18.7
18109,11.4,16.2
18111,12.2,17.6
18113,9.8,14.2
18115,10.2,15.6
18117,15.7,24.3
18119,15.8,24.8
18121,17.2,25.0
18123,13.2,18.0
18125,11.1,16.2
18127,11.6,14.8
18129,9.7,12.9
18131,14.2,21.1
18133,13.6,17.6
18135,18.0,27.1
18137,10.6,15.4
18139,13.9,20.4
18141,16.7,24.5
18143,15.6,24.0
18145,11.9,17.2
18147,9.4,12.0
18149,14.8,23.0
18151,10.1,16.0
18153,16.4,20.9
18155,15.9,28.3
18157,18.9,17.8
18159,8.7,12.9
18161,12.4,20.3
18163,17.2,24.8
18165,12.9,18.5
18167,20.4,25.2
18169,12.0,18.1
18171,10.2,16.3
18173,7.5,9.8
18175,14.4,22.9
18177,18.0,28.4
18179,9.5,13.8
18181,10.9,17.9
18183,7.9,11.3
19001,11.9,16.5
19003,12.5,20.2
19005,10.8,17.0
19007,16.5,25.2
19009,10.3,15.3
19011,8.3,10.3
19013,14.2,16.8
19015,8.8,11.4
19017,7.8,7.1
19019,10.3,14.4
19021,13.7,19.1
19023,9.2,11.8
19025,12.5,16.5
19027,8.7,10.5
19029,13.9,19.7
19031,7.3,9.7
19033,12.3,14.7
19035,10.3,14.2
19037,8.5,13.6
19039,11.8,18.2
19041,11.6,15.7
19043,11.2,16.6
19045,13.4,18.2
19047,15.1,18.4
19049,5.3,6.0
19051,12.7,21.0
19053,21.7,27.1
19055,10.2,12.9
19057,14.7,22.6
19059,8.6,10.7
19061,12.0,13.9
19063,13.8,19.0
19065,12.9,18.1
19067,14.5,18.1
19069,11.9,17.3
19071,12.1,17.0
19073,11.1,16.5
19075,6.3,8.6
19077,10.4,13.6
19079,11.0,15.6
19081,9.2,12.2
19083,9.6,16.5
19085,9.9,13.2
19087,12.0,16.4
19089,11.0,15.7
19091,10.8,14.5
19093,10.6,13.1
19095,6.9,8.2
19097,12.9,17.6
19099,9.3,12.9
19101,15.3,20.0
19103,18.3,12.7
19105,11.1,14.3
