,county_fips,ABS_facilities_2009,ABS_facilities_2014,PCT_facilities_change,ABS_facilities_per_thousand_pop_2009,ABS_facilities_per_thousand_pop_2014,PCT_facilities_per_thousand_pop_change
951,20127,1,1,0.0,0.167841558,0.175500176,4.563004563
952,20129,0,0,0.0,0.0,0.0,0.0
953,20131,0,0,0.0,0.0,0.0,0.0
954,20133,3,1,-66.666666667,0.181071946,0.0609162,-66.358024691
955,20135,0,0,0.0,0.0,0.0,0.0
956,20137,0,0,0.0,0.0,0.0,0.0
957,20139,0,0,0.0,0.0,0.0,0.0
958,20141,0,0,0.0,0.0,0.0,0.0
959,20143,0,0,0.0,0.0,0.0,0.0
960,20145,0,0,0.0,0.0,0.0,0.0
961,20147,0,1,,0.0,0.180733779,
962,20149,2,3,50.0,0.09431293,0.131021531,38.922129537
963,20151,2,2,0.0,0.206846623,0.203045685,-1.837563452
964,20153,0,0,0.0,0.0,0.0,0.0
965,20155,4,4,0.0,0.0623092,0.062701821,0.630153306
966,20157,1,1,0.0,0.198216056,0.208203206,5.038517593
967,20159,0,0,0.0,0.0,0.0,0.0
968,20161,4,5,25.0,0.0571469,0.066494667,16.35735564
969,20163,0,0,0.0,0.0,0.0,0.0
970,20165,0,0,0.0,0.0,0.0,0.0
971,20167,0,0,0.0,0.0,0.0,0.0
972,20169,7,5,-28.571428571,0.126894351,0.089678056,-29.328567585
973,20171,2,1,-50.0,0.41467966,0.196850394,-52.529527559
974,20173,42,42,0.0,0.084847456,0.082546683,-2.71165854
975,20175,1,1,0.0,0.0439967,0.0426167,-3.136586405
976,20177,15,17,13.333333333,0.084848348,0.095288275,12.304219963
977,20179,0,0,0.0,0.0,0.0,0.0
978,20181,1,1,0.0,0.16655563,0.163666121,-1.734860884
979,20183,0,0,0.0,0.0,0.0,0.0
980,20185,0,0,0.0,0.0,0.0,0.0
981,20187,0,0,0.0,0.0,0.0,0.0
982,20189,0,0,0.0,0.0,0.0,0.0
983,20191,0,0,0.0,0.0,0.0,0.0
984,20193,1,0,-100.0,0.128982329,0.0,-100.0
985,20195,0,0,0.0,0.0,0.0,0.0
986,20197,1,2,100.0,0.141663125,0.28481914,101.053830817
987,20199,0,0,0.0,0.0,0.0,0.0
988,20201,0,0,0.0,0.0,0.0,0.0
989,20203,0,0,0.0,0.0,0.0,0.0
990,20205,0,0,0.0,0.0,0.0,0.0
991,20207,0,0,0.0,0.0,0.0,0.0
992,20209,11,6,-45.454545455,0.070325286,0.0371204,-47.216079226
993,21001,1,0,-100.0,0.0533931,0.0,-100.0
994,21003,1,0,-100.0,0.050477,0.0,-100.0
995,21005,2,0,-100.0,0.093773443,0.0,-100.0
996,21007,0,0,0.0,0.0,0.0,0.0
997,21009,3,2,-33.333333333,0.071138934,0.0463521,-34.842866413
998,21011,0,0,0.0,0.0,0.0,0.0
999,21013,2,3,50.0,0.069766631,0.107999136,54.800561596
1000,21015,14,13,-7.142857143,0.119188497,0.102837525,-13.718582289
1001,21017,0,0,0.0,0.0,0.0,0.0
1002,21019,4,3,-25.0,0.081033994,0.0614351,-24.1859846
1003,21021,3,5,66.666666667,0.106018306,0.168316165,58.761417447
1004,21023,0,0,0.0,0.0,0.0,0.0
1005,21025,0,0,0.0,0.0,0.0,0.0
1006,21027,0,1,,0.0,0.0502816,
1007,21029,7,7,0.0,0.094924264,0.089795395,-5.403117183
1008,21031,0,0,0.0,0.0,0.0,0.0
1009,21033,1,0,-100.0,0.076946753,0.0,-100.0
1010,21035,3,1,-66.666666667,0.081331671,0.0261219,-67.882207478
1011,21037,9,11,22.222222222,0.100374732,0.119782649,19.335460383
1012,21039,0,0,0.0,0.0,0.0,0.0
1013,21041,1,0,-100.0,0.092148913,0.0,-100.0
1014,21043,2,2,0.0,0.071981285,0.073467289,2.064430812
1015,21045,1,1,0.0,0.062711652,0.062928702,0.34610786
1016,21047,3,6,100.0,0.0408402,0.080808081,97.863973064
1017,21049,2,1,-50.0,0.0561687,0.0279658,-50.211141563
1018,21051,0,0,0.0,0.0,0.0,0.0
1019,21053,1,1,0.0,0.097780385,0.098376783,0.609936055
1020,21055,0,0,0.0,0.0,0.0,0.0
1021,21057,0,0,0.0,0.0,0.0,0.0
1022,21059,9,11,22.222222222,0.093495808,0.111930806,19.71745951
1023,21061,0,0,0.0,0.0,0.0,0.0
1024,21063,0,0,0.0,0.0,0.0,0.0
1025,21065,0,0,0.0,0.0,0.0,0.0
1026,21067,42,48,14.285714286,0.143582871,0.154441645,7.562722383
1027,21069,2,1,-50.0,0.140056022,0.068752149,-50.910965968
1028,21071,0,0,0.0,0.0,0.0,0.0
1029,21073,6,4,-33.333333333,0.121819991,0.080192462,-34.17134456
1030,21075,0,0,0.0,0.0,0.0,0.0
1031,21077,0,0,0.0,0.0,0.0,0.0
1032,21079,0,0,0.0,0.0,0.0,0.0
1033,21081,3,1,-66.666666667,0.121472244,0.040201,-66.90519263
1034,21083,2,3,50.0,0.0541536,0.079749056,47.264607369
1035,21085,1,2,100.0,0.0390335,0.076353363,95.609681606
1036,21087,0,0,0.0,0.0,0.0,0.0
1037,21089,1,1,0.0,0.0269884,0.0275421,2.051889391
1038,21091,0,0,0.0,0.0,0.0,0.0
1039,21093,8,11,37.5,0.079009224,0.101601611,28.594618809
1040,21095,1,1,0.0,0.0338593,0.0355076,4.868089337
1041,21097,2,1,-50.0,0.10585371,0.0537866,-49.187822719
1042,21099,1,2,100.0,0.0549541,0.107544228,95.698230897
1043,21101,3,3,0.0,0.065164976,0.064561947,-0.92538791
1044,21103,0,0,0.0,0.0,0.0,0.0
1045,21105,0,0,0.0,0.0,0.0,0.0
1046,21107,3,1,-66.666666667,0.063937256,0.0215629,-66.274941061
1047,21109,0,0,0.0,0.0,0.0,0.0
1048,21111,75,77,2.666666667,0.101804657,0.101312324,-0.483606263
1049,21113,5,6,20.0,0.10383569,0.118075371,13.713667224
1050,21115,1,1,0.0,0.0430663,0.0429886,-0.180551973
1051,21117,21,22,4.761904762,0.131877241,0.134204442,1.76467222
1052,21119,0,0,0.0,0.0,0.0,0.0
1053,21121,0,1,,0.0,0.0314485,
1054,21123,2,2,0.0,0.141123342,0.141043724,-0.056417
1055,21125,2,1,-50.0,0.0341804,0.0166625,-51.251353828
1056,21127,0,0,0.0,0.0,0.0,0.0
1057,21129,0,0,0.0,0.0,0.0,0.0
1058,21131,0,0,0.0,0.0,0.0,0.0
1059,21133,0,0,0.0,0.0,0.0,0.0
1060,21135,0,0,0.0,0.0,0.0,0.0
1061,21137,1,1,0.0,0.0403616,0.0409082,1.354060135
1062,21139,0,0,0.0,0.0,0.0,0.0
1063,21141,1,0,-100.0,0.0372135,0.0,-100.0
1064,21143,0,0,0.0,0.0,0.0,0.0
1065,21145,10,6,-40.0,0.152313644,0.091861106,-39.689509462
1066,21147,0,0,0.0,0.0,0.0,0.0
1067,21149,0,0,0.0,0.0,0.0,0.0
1068,21151,11,8,-27.272727273,0.133658975,0.091596061,-31.470324958
1069,21153,0,0,0.0,0.0,0.0,0.0
1070,21155,1,0,-100.0,0.0505842,0.0,-100.0
1071,21157,3,4,33.333333333,0.095507943,0.129228185,35.306216953
1072,21159,1,1,0.0,0.076687117,0.079763899,4.012124113
1073,21161,1,1,0.0,0.0572607,0.0582547,1.735989747
1074,21163,1,3,200.0,0.0352075,0.102954803,192.422526511
1075,21165,0,0,0.0,0.0,0.0,0.0
1076,21167,0,2,,0.0,0.093813031,
1077,21169,0,0,0.0,0.0,0.0,0.0
1078,21171,2,0,-100.0,0.182332027,0.0,-100.0
1079,21173,4,3,-25.0,0.151474988,0.109194147,-27.912753876
1080,21175,1,0,-100.0,0.071797817,0.0,-100.0
1081,21177,3,1,-66.666666667,0.09522298,0.0320441,-66.348362013
1082,21179,6,6,0.0,0.139619305,0.133892707,-4.101579934
1083,21181,0,0,0.0,0.0,0.0,0.0
1084,21183,1,1,0.0,0.041862,0.0417066,-0.371189056
1085,21185,2,2,0.0,0.0334577,0.031501,-5.848165065
1086,21187,0,0,0.0,0.0,0.0,0.0
1087,21189,0,0,0.0,0.0,0.0,0.0
1088,21191,1,0,-100.0,0.067631543,0.0,-100.0
1089,21193,0,0,0.0,0.0,0.0,0.0
1090,21195,3,1,-66.666666667,0.0459735,0.0158645,-65.492168248
1091,21197,0,0,0.0,0.0,0.0,0.0
1092,21199,4,5,25.0,0.063784663,0.078339209,22.818253036
1093,21201,0,0,0.0,0.0,0.0,0.0
1094,21203,0,0,0.0,0.0,0.0,0.0
1095,21205,3,2,-33.333333333,0.128534704,0.084548721,-34.221094906
1096,21207,1,1,0.0,0.0567151,0.056262,-0.79891977
1097,21209,2,3,50.0,0.0431732,0.0584978,35.495476172
1098,21211,2,2,0.0,0.0481047,0.0445682,-7.351532033
1099,21213,1,3,200.0,0.0580484,0.168293504,189.919219118
1100,21215,1,0,-100.0,0.058924,0.0,-100.0
1101,21217,5,2,-60.0,0.205195551,0.079185968,-61.409510235
1102,21219,0,0,0.0,0.0,0.0,0.0
1103,21221,1,0,-100.0,0.070313599,0.0,-100.0
1104,21223,0,0,0.0,0.0,0.0,0.0
1105,21225,2,1,-50.0,0.133297787,0.065941312,-50.530827563
1106,21227,7,12,71.428571429,0.0622914,0.09961813,59.922677356
1107,21229,1,0,-100.0,0.086580087,0.0,-100.0
1108,21231,2,0,-100.0,0.096186217,0.0,-100.0
1109,21233,0,1,,0.0,0.075551526,
1110,21235,2,1,-50.0,0.0555648,0.0281666,-49.30850914
1111,21237,0,1,,0.0,0.138619351,
1112,21239,0,1,,0.0,0.039119,
1113,22001,7,6,-14.285714286,0.113911897,0.096021509,-15.70546088
1114,22003,1,1,0.0,0.0386653,0.0388908,0.583362501
1115,22005,13,18,38.461538462,0.123607044,0.15380803,24.433062942
1116,22007,2,1,-50.0,0.08507742,0.0434141,-48.97108622
1117,22009,0,2,,0.0,0.0486086,
1118,22011,1,2,100.0,0.028456,0.0552517,94.165423504
1119,22013,0,0,0.0,0.0,0.0,0.0
1120,22015,12,10,-16.666666667,0.104178423,0.079959061,-23.247963709
1121,22017,26,27,3.846153846,0.102667377,0.106887092,4.110082742
