,county_fips,PCT_reduced_lunch_2009,PCT_reduced_lunch_2014,PCT_reduced_lunch_average,PCT_reduced_lunch_change,PCT_free_lunch_2009,PCT_free_lunch_2014,PCT_free_lunch_average,PCT_free_lunch_change
2753,48461,11.559888579387186,10.787878787878787,11.174,-0.772,32.590529247910865,36.36363636363637,34.477,3.773
2754,48463,7.6795488472383475,7.4613916363005375,7.57,-0.218,66.77724332393431,63.5779975707097,65.178,-3.199
2755,48465,8.400332686443027,10.016872391439481,9.209,1.617,66.49108215506885,64.43477488677736,65.463,-2.056
2756,48467,10.245122561280642,8.799593082400815,9.522,-1.446,41.41070535267634,43.7029501525941,42.557,2.292
2757,48469,9.567514031033344,8.80690837513493,9.187,-0.761,55.89303400462199,53.825639723157025,54.859,-2.067
2758,48471,12.382838283828383,9.129196085717824,10.756,-3.254,39.28712871287129,48.86659234485322,44.077,9.579
2759,48473,8.785664578983994,9.369925300422215,9.078,0.584,63.23938761308281,63.1373822669698,63.188,-0.102
2760,48475,11.167985109353188,9.365934521342727,10.267,-1.802,43.69474174034435,39.86738499792789,41.781,-3.827
2761,48477,8.409090909090908,7.1198636621851925,7.764,-1.289,45.0,47.131225146752506,46.066,2.131
2762,48479,5.052384070480385,0.3349343671165714,2.694,-4.717,42.50401809631526,81.46173909325428,61.983,38.958
2763,48481,8.393579218233059,7.638310529446758,8.016,-0.755,53.85369440019605,55.526472337894106,54.69,1.673
2764,48483,11.448140900195694,8.01963993453355,9.734,-3.429,41.3894324853229,33.9607201309329,37.675,-7.429
2765,48485,10.678397777263255,9.867026402004239,10.273,-0.811,43.77865246584858,52.30294854499904,48.041,8.524
2766,48487,14.080785201963005,11.788617886178862,12.935,-2.292,52.69913174782936,47.11382113821138,49.906,-5.585
2767,48489,1.3821851689337428,0.1988950276243094,0.791,-1.183,12.351908731899956,81.67955801104972,47.016,69.328
2768,48491,7.240424222337957,6.52185029505313,6.881,-0.719,25.905496898821077,25.030937113286083,25.468,-0.875
2769,48493,10.16004742145821,,,,34.89033787788974,,,
2770,48495,12.468030690537084,12.66774020397209,12.568,0.2,25.255754475703323,46.59151905528717,35.924,21.336
2771,48497,8.842473316157527,7.87139689578714,8.357,-0.971,34.37615016562385,36.16038433111604,35.268,1.784
2772,48499,9.206868356500408,8.386778490379871,8.797,-0.82,44.90596892886345,46.110837033382666,45.508,1.205
2773,48501,14.148073022312374,8.758465011286681,11.453,-5.39,48.32657200811359,42.66365688487584,45.495,-5.663
2774,48503,10.281170122124395,10.65812463599301,10.47,0.377,42.516330587901166,45.25334886429819,43.885,2.737
2775,48505,7.232119117256048,0.0,3.616,-7.232,55.06514224940175,79.13513513513514,67.1,24.07
2776,48507,11.55317521040551,1.1511325659116227,6.352,-10.402,75.78423871461362,73.3011511325659,74.543,-2.483
2777,49001,19.461444308445532,13.630490956072352,16.546,-5.831,33.598531211750306,29.198966408268735,31.399,-4.4
2778,49003,12.769815230530131,10.81330094647793,11.792,-1.957,29.934380935935074,26.9536812128319,28.444,-2.981
2779,49005,11.873089672392268,11.806797853309481,11.84,-0.066,28.550518748116577,26.71437090041741,27.632,-1.836
2780,49007,12.688894219237227,9.376546264225631,11.033,-3.312,46.46198129047733,35.65066798614547,41.056,-10.811
2781,49009,15.053763440860216,,,,10.21505376344086,,,
2782,49011,10.455808098085633,4.698316625685644,7.577,-5.757,21.82980062671903,17.93581741378223,19.883,-3.894
2783,49013,12.640449438202248,7.826887661141805,10.234,-4.814,37.479935794542534,25.87476979742173,31.677,-11.605
2784,49015,16.921803889118742,12.71114864864865,14.816,-4.211,35.581299131154324,30.152027027027028,32.867,-5.429
2785,49017,17.705242334322453,14.300306435137896,16.003,-3.405,36.99307616221563,29.009193054136873,33.001,-7.984
2786,49019,12.296564195298371,9.611829944547134,10.954,-2.685,41.892706449668474,38.38570548367221,40.139,-3.507
2787,49021,13.237887747691667,10.47925248668743,11.859,-2.759,39.2883079157589,36.712548980206975,38.0,-2.576
2788,49023,13.28125,12.294768995799924,12.788,-0.986,28.164062499999996,24.9331806032837,26.549,-3.231
2789,49025,15.384615384615385,15.681444991789819,15.533,0.297,39.70223325062035,28.981937602627255,34.342,-10.72
2790,49027,,14.647137150466044,,,,37.383488681757655,,
2791,49029,9.03010033444816,6.25,7.64,-2.78,11.120401337792641,9.623579545454545,10.372,-1.497
2792,49031,18.428184281842817,21.341463414634145,19.885,2.913,51.21951219512195,52.13414634146341,51.677,0.915
2793,49033,4.051172707889126,11.134020618556702,7.593,7.083,56.929637526652456,28.04123711340206,42.485,-28.888
2794,49035,8.043459697309135,7.368202769320678,7.706,-0.675,36.560997784821254,34.8677079111329,35.714,-1.693
2795,49037,10.49618320610687,0.0,5.248,-10.496,62.59541984732825,98.79441624365482,80.695,36.199
2796,49039,15.734141126158233,13.771113409169253,14.753,-1.963,39.20171062009979,39.003791795932436,39.103,-0.198
2797,49041,14.476428869420108,0.0,7.238,-14.476,37.234042553191486,52.979166666666664,45.107,15.745
2798,49043,4.908147524891319,3.3046683046683047,4.106,-1.603,18.061982891600056,17.444717444717444,17.753,-0.617
2799,49045,10.496929089893914,9.845509295627128,10.171,-0.651,36.05527638190954,28.934275988478657,32.495,-7.121
2800,49047,13.80766223612197,7.904573438874231,10.856,-5.903,32.056293979671615,26.517150395778366,29.287,-5.539
2801,49049,6.256703311435849,7.181910716882362,6.719,0.925,29.71494168119051,21.989966555183944,25.852,-7.725
2802,49051,8.612696148359486,7.33930535910734,7.976,-1.273,29.9037089871612,24.35957881502436,27.132,-5.544
2803,49053,10.040522287257991,8.526959068050163,9.284,-1.514,34.06123367852319,34.24788337895474,34.155,0.187
2804,49055,21.394611727416798,15.630885122410545,18.513,-5.764,32.48811410459588,33.33333333333333,32.911,0.845
2805,49057,11.188074085228127,8.070367442897387,9.629,-3.118,39.27549637533074,38.1913621531789,38.733,-1.084
2806,50001,7.695542472666106,8.68824531516184,8.192,0.993,22.32968881412952,27.299829642248724,24.815,4.97
2807,50003,5.4416961130742045,7.362534948741846,6.402,1.921,35.359246171967015,45.6430568499534,40.501,10.284
2808,50005,10.248249522597073,9.990485252140818,10.119,-0.258,37.492043284532144,41.325721535045986,39.409,3.834
2809,50007,4.295832950050594,3.7001551236426686,3.998,-0.596,19.970563885567106,23.044985856373756,21.508,3.074
2810,50009,10.240202275600506,9.419152276295135,9.83,-0.821,43.36283185840708,51.96232339089482,47.663,8.599
2811,50011,8.607198748043817,8.269581056466302,8.438,-0.338,27.819910918502465,34.438372799028535,31.129,6.618
2812,50013,4.227642276422764,4.8742138364779874,4.551,0.647,48.13008130081301,43.08176100628931,45.606,-5.048
2813,50015,8.259176863181313,8.148348673524634,8.204,-0.111,29.449388209121246,31.64591229020032,30.548,2.197
2814,50017,8.775090066906845,9.072631314400603,8.924,0.298,31.5748841996912,37.32093490826841,34.448,5.746
2815,50019,10.879511947127606,10.68527918781726,10.782,-0.194,42.9334011184545,45.736040609137056,44.335,2.803
2816,50021,6.9831441348469205,6.372735335107056,6.678,-0.61,31.991744066047474,36.36133282655518,34.177,4.37
2817,50023,5.7757117954677515,7.204116638078903,6.49,1.428,22.66124346310285,28.30188679245283,25.482,5.641
2818,50025,7.517512386810182,8.152367390530438,7.835,0.635,32.49615581752947,36.57885368458526,34.538,4.083
2819,50027,6.45244547683572,6.9273440671086455,6.69,0.475,26.68731449219254,32.79664456771749,29.742,6.109
2820,51001,7.212286158631414,6.066945606694561,6.64,-1.145,55.676516329704505,62.95169265880563,59.314,7.275
2821,51003,4.597793703196714,4.624633883150917,4.611,0.027,18.850148965295112,23.231077539694773,21.041,4.381
2822,51005,7.830056179775282,,,,35.14747191011236,,,
2823,51007,9.761388286334057,,,,39.75054229934924,,,
2824,51009,9.192921881743633,8.315764816116186,8.754,-0.877,35.455330168321105,41.15717966736941,38.306,5.702
2825,51011,7.626392459297343,6.464208242950109,7.045,-1.162,36.54670094258783,39.78308026030369,38.165,3.236
2826,51013,6.6952832050522995,5.973370251231728,6.334,-0.722,25.942372212354453,24.935868724296594,25.439,-1.007
2827,51015,7.984755530767801,7.850218589621745,7.917,-0.135,27.514407882506042,31.11575746055883,29.315,3.601
2828,51017,11.269614835948644,14.54248366013072,12.906,3.273,26.533523537803138,32.189542483660134,29.362,5.656
2829,51019,7.175732217573222,7.65573932851342,7.416,0.48,24.69665271966527,28.939288897692382,26.818,4.243
2830,51021,12.745098039215685,13.493975903614459,13.12,0.749,29.847494553376908,28.795180722891565,29.321,-1.052
2831,51023,5.131734172237515,,,,14.530082579630358,,,
2832,51025,10.521500457456542,0.0,5.261,-10.522,62.85452881976212,85.56812062466344,74.211,22.714
2833,51027,13.032502366677184,10.332693538067819,11.683,-2.7,53.076680340801516,56.046065259117086,54.561,2.969
2834,51029,11.263467189030363,9.781089892873778,10.522,-1.482,49.70617042115573,57.102934326967855,53.405,7.397
2835,51031,8.315960157516795,7.446547063160482,7.881,-0.869,30.067176279823954,36.07766035881052,33.072,6.01
2836,51033,8.06640168342296,8.583887996327748,8.325,0.517,41.10357727379004,43.14895570346569,42.126,2.045
2837,51035,10.795040116703136,,,,42.4750790177486,,,
2838,51036,8.24742268041237,9.014084507042254,8.631,0.767,36.19702176403207,49.859154929577464,43.028,13.662
2839,51037,13.830755232029118,10.619918699186993,12.225,-3.211,41.67424931756142,47.103658536585364,44.389,5.429
2840,51041,3.594098042171197,3.97153620761825,3.783,0.377,15.327672545177442,19.363750523231477,17.346,4.036
2841,51043,3.5304906006419072,4.360902255639098,3.946,0.83,13.984410820724438,16.641604010025063,15.313,2.657
2842,51045,8.390646492434662,10.21671826625387,9.304,1.826,32.18707015130674,40.71207430340557,36.45,8.525
2843,51047,8.062418725617686,8.657418875402527,8.36,0.595,29.037711313394016,37.14391875154818,33.091,8.106
