fips,county,state,CNT_population_2013,SQM_total_area_2000,PSM_population_density_2013,metropolitain_area_2013
22027,Claiborne,LA,16653,767.55,21.696306429548567,0
22029,Concordia,LA,20450,748.68,27.314740610140515,0
22031,De Soto,LA,27026,894.49,30.213864883900325,0
22033,East Baton Rouge,LA,444527,470.54,944.7167084626174,1
22035,East Carroll,LA,7503,442.45,16.957848344445697,1
22037,East Feliciana,LA,19675,455.69,43.176282121617774,0
22039,Evangeline,LA,33814,679.61,49.75500654787305,1
22041,Franklin,LA,20522,635.43,32.296240341186284,0
22043,Grant,LA,22346,664.56,33.625255808354396,0
22045,Iberia,LA,73988,1030.86,71.77308266883962,1
22047,Iberville,LA,33332,652.84,51.05692053183016,1
22049,Jackson,LA,16114,580.34,27.766481717613807,1
22051,Jefferson,LA,434770,642.41,676.7796267181395,0
22053,Jefferson Davis,LA,31283,658.58,47.50068328828692,1
22055,Lafayette,LA,231247,270.29,855.5514447445337,0
22057,Lafourche,LA,97148,1472.19,65.98876503712157,1
22059,La Salle,LA,14826,662.36,22.383598043360106,1
22061,Lincoln,LA,47404,472.27,100.3747856099265,0
22063,Livingston,LA,134175,702.84,190.904046440157,0
22065,Madison,LA,11899,650.53,18.291239450909263,1
22067,Morehouse,LA,27012,805.2,33.546944858420275,0
22069,Natchitoches,LA,39225,1299.3,30.189332717617177,0
22071,Orleans,LA,378886,350.21,1081.8822991919137,0
22073,Ouachita,LA,156142,632.7,246.7867867867868,1
22075,Plaquemines,LA,23597,2428.54,9.716537508132456,1
22077,Pointe Coupee,LA,22398,590.68,37.919008600257335,1
22079,Rapides,LA,132482,1361.96,97.27304766659813,1
22081,Red River,LA,8886,402.08,22.10007958615201,1
22083,Richland,LA,20875,564.51,36.978972914563066,0
22085,Sabine,LA,24213,1011.51,23.93747960969244,0
22087,St. Bernard,LA,43409,1793.75,24.2001393728223,0
22089,St. Charles,LA,52650,410.16,128.36454066705676,1
22091,St. Helena,LA,10843,409.46,26.481219166707373,1
22093,St. James,LA,21610,257.79,83.8279219519764,1
22095,St. John the Baptist,LA,43615,347.84,125.38810947562098,1
22097,St. Landry,LA,83510,938.83,88.95114131418894,1
22099,St. Martin,LA,52948,816.46,64.85069691105504,0
22101,St. Mary,LA,53531,1118.83,47.845517192066715,1
